FarmerID,Name,Location,Crop,AvgPrice,ReliabilityScore
F100,Farmer 1,Ongole,Wheat,3656,3.6
F101,Farmer 2,Ongole,Turmeric,5267,4.3
F102,Farmer 3,Kurnool,Chilli,4018,3.7
F103,Farmer 4,Nellore,Chilli,3644,3.9
F104,Farmer 5,Nellore,Rice,3543,4.1
F105,Farmer 6,Ongole,Rice,3191,4.4
F106,Farmer 7,Guntur,Wheat,4204,4.3
F107,Farmer 8,Vijayawada,Turmeric,3178,4.2
F108,Farmer 9,Warangal,Wheat,4853,4.2
F109,Farmer 10,Nellore,Wheat,3903,3.6
F110,Farmer 11,Warangal,Wheat,1828,4.1
F111,Farmer 12,Warangal,Rice,4179,4.1
F112,Farmer 13,Ongole,Chilli,2041,3.8
F113,Farmer 14,Ongole,Chilli,4149,3.9
F114,Farmer 15,Kurnool,Cotton,2855,3.5
F115,Farmer 16,Nellore,Wheat,4300,4.0
F116,Farmer 17,Ongole,Maize,3036,3.7
F117,Farmer 18,Kurnool,Chilli,5087,4.2
F118,Farmer 19,Guntur,Cotton,3224,3.6
F119,Farmer 20,Kurnool,Turmeric,4991,4.6
F120,Farmer 21,Vijayawada,Cotton,5137,4.1
F121,Farmer 22,Vijayawada,Maize,2158,3.5
F122,Farmer 23,Ongole,Chilli,1909,3.8
F123,Farmer 24,Kurnool,Turmeric,2663,3.8
F124,Farmer 25,Guntur,Maize,5297,3.6
F125,Farmer 26,Nellore,Sugarcane,3058,4.9
F126,Farmer 27,Kurnool,Maize,1896,4.3
F127,Farmer 28,Ongole,Cotton,3007,3.6
F128,Farmer 29,Warangal,Turmeric,5004,3.6
F129,Farmer 30,Ongole,Cotton,3822,3.6
F130,Farmer 31,Guntur,Chilli,3377,4.0
F131,Farmer 32,Vijayawada,Cotton,2724,4.5
F132,Farmer 33,Warangal,Wheat,3481,4.1
F133,Farmer 34,Kurnool,Chilli,2582,4.4
F134,Farmer 35,Guntur,Chilli,5045,4.8
F135,Farmer 36,Nizamabad,Maize,3338,4.3
F136,Farmer 37,Nizamabad,Cotton,5360,3.7
F137,Farmer 38,Guntur,Rice,3807,3.8
F138,Farmer 39,Warangal,Cotton,3704,4.0
F139,Farmer 40,Guntur,Maize,4477,4.0
F140,Farmer 41,Ongole,Rice,2271,4.3
F141,Farmer 42,Kurnool,Cotton,3139,3.9
F142,Farmer 43,Guntur,Sugarcane,4498,3.8
F143,Farmer 44,Vijayawada,Chilli,5430,3.7
F144,Farmer 45,Nellore,Chilli,3631,3.9
F145,Farmer 46,Warangal,Wheat,1947,4.9
F146,Farmer 47,Vijayawada,Chilli,4783,5.0
F147,Farmer 48,Nellore,Maize,4812,4.5
F148,Farmer 49,Guntur,Maize,5061,4.7
F149,Farmer 50,Nizamabad,Maize,4593,5.0
